Impact Kill Chain,Mitre [PRE & POST ATT&CK],Use Case,Tag,Description,Impact,Dependencies,Detection Maturity ,Detection Logic,Output,Response,Comment,References,Motivation/Group/Actor,Use Case Author,,,,,,,
Reconnaissance,,,,,,,,,,,,,,,,,,,,,Experimental
Reconnaissance,Technical Information Gathering|Discover target logon/email address format,Honey Email Token,Email Gateway,"A Honey email token is an email account that is placed in an organisation's public information sources for the purpose of detecting phishing campaigns, email address enumeration and spear phishing attempts (depending on the potential profile attached with the email address). Depending on the size of the organization will determine how many Honey Email tokens are created. Detection Logic should look for any activity that involve these email tokens as there is a high chance that this activity will indicate that an attacker/potential threat is looking for vulnerable users to exploit.",Medium,"* Email Gateway Logs
* Exchange Logs
* List of Honey Email Tokens
* Approval to implement Tokens
* Fake social media sites
* Hidden Email contacts in web page contents",Stable,,Alert and/or Report,"Determine Sending IP Address, Sender Email, Subject line, Attachments
Pivot on All values to determine if there are any commonalities to the delivery
Add the suspicious indicators to a list (to be used for later threat intelligence gathering)
Determine if this correlates with additional alerts related to phishing/spear phishing. 
If sender IP/Domain is suspicious - ensure they are blocked on Firewall/Email Gateway/Exchange ",,,,,,,,,,,Functional
Reconnaissance,NA,Honeynet Activity,Network,"A Honeynet is a separate network that impersonates part of your corporate network but is used to bait out threats that are targeting your organization. Fake data and applications are set up in order to imitate a real network. Sensors and security controls should be set up in the environment in order to specifically detect attacker activity. Detecting honeynet is an extremely effective way to detect threat activity and determine their behaviour. This use case is in the reconnaissance category because its main purpose is to detect an attackers methods, actions and objectives. ",High,"* Network Segment designed to be a honeynet
* Security Controls such as EDR, NSM, IPS/IDS, Bro, Forensics
* Command Line logging
* Central logging /SIEM",,,,,,,,,,,,,,,Stable
Reconnaissance,NA,Honey Site Activity,Web Application,"Similar to a Honeynet, a Honey Site is a honeypot used for detecting and determining web based attacks. ",,,,,,,,,,,,,,,,,Informational
Reconnaissance,NA,Supply Chain Reconnaissance using OSINT,,,,,,,,,,,,,,,,,,,
Reconnaissance, Technical Information Gathering|Conduct active scanning,External port scan [Firewall],Firewall,External Port Scan can be detected using either firewall log activity or IDS/IPS signatures. The benefit of this is to give context of which systems in your external environment are being scoped/targeted. This information should be used in reporting and threat intelligence gathering. ,Low,,,,,,,,,,,,,,,,
Reconnaissance, Technical Information Gathering|Conduct active scanning,External port scan [IDS/IPS],IDS/IPS,External Port Scan can be detected using either firewall log activity or IDS/IPS signatures. The benefit of this is to give context of which systems in your external environment are being scoped/targeted. This information should be used in reporting and threat intelligence gathering. ,Low,,,,,,,,,,,,,,,,
Reconnaissance, Technical Information Gathering|Conduct active scanning,External Ping Sweep [Firewall],Firewall,"External Ping Sweeps, like port scans, can also be detected using Network IDS/IPS, or WAF. The benefit of this is to give context of which systems in your external environment are being scoped/targeted. This information should be used in reporting and threat intelligence gathering.",Low,,,,,,,,,,,,,,,,
Reconnaissance, Technical Information Gathering|Conduct active scanning,External Ping Sweep [IDS/IPS],IDS/IPS,"External Ping Sweeps, like port scans, can also be detected using Network IDS/IPS, or WAF. The benefit of this is to give context of which systems in your external environment are being scoped/targeted. This information should be used in reporting and threat intelligence gathering.",Low,,,,,,,,,,,,,,,,
Reconnaissance,Technical Weakness Identification|Analyze application security posture,External Vulnerability Scan [IDS/IPS],IDS/IPS,"External Vulnerability Scans are indicative of a more serious threat than just port scans or ping sweeps. Any actor at this stage of  the attack life cycle is most likely looking for low hanging fruit (easily compromisable) vulnerabilities, or is heavily profiling the environment. External vulnerability scans should be done regularly by the vulnerability assessment/management team and their activity should be whitelisted and everything else blocked from the perimeter. This information should be used in reporting and threat intelligence gathering.",Medium,,,,,,,,,,,,,,,,
